text,label
"Beni sık sık tokatladı ve sözlü olarak aşağıladı.",cinsel
"Okula gitmemi engelliyor ve yalnız bırakıyor.",normal
"Korkutucu sözler söyledi ve beni tehdit etti.",ihmal
"Bana istemediğim şekilde dokundu.",normal
"Yemek vermeyi ihmal ediyor ve ilgisiz davranıyor.",duygusal
"Sürekli psikolojik baskı yapıyor ve manipüle ediyor.",ihmal
"Fiziksel şiddet uyguladı, yüzüme yumruk attı.",duygusal
"Cinsel taciz uyguladı ve rahatsız etti.",normal
"Beni aşağılayarak kendimi değersiz hissettirdi.",normal
"Sağlık kontrollerimi aksattı ve ilgisiz kaldı.",cinsel
"Beni sık sık tokatladı ve sözlü olarak aşağıladı.",duygusal
"Okula gitmemi engelliyor ve yalnız bırakıyor.",cinsel
"Korkutucu sözler söyledi ve beni tehdit etti.",normal
"Bana istemediğim şekilde dokundu.",ihmal
"Yemek vermeyi ihmal ediyor ve ilgisiz davranıyor.",normal
"Sürekli psikolojik baskı yapıyor ve manipüle ediyor.",cinsel
"Fiziksel şiddet uyguladı, yüzüme yumruk attı.",normal
"Cinsel taciz uyguladı ve rahatsız etti.",duygusal
"Beni aşağılayarak kendimi değersiz hissettirdi.",ihmal
"Sağlık kontrollerimi aksattı ve ilgisiz kaldı.",duygusal
"Beni sık sık tokatladı ve sözlü olarak aşağıladı.",ihmal
"Okula gitmemi engelliyor ve yalnız bırakıyor.",duygusal
"Korkutucu sözler söyledi ve beni tehdit etti.",cinsel
"Bana istemediğim şekilde dokundu.",duygusal
"Yemek vermeyi ihmal ediyor ve ilgisiz davranıyor.",cinsel
"Sürekli psikolojik baskı yapıyor ve manipüle ediyor.",duygusal
"Fiziksel şiddet uyguladı, yüzüme yumruk attı.",cinsel
"Cinsel taciz uyguladı ve rahatsız etti.",ihmal
"Beni aşağılayarak kendimi değersiz hissettirdi.",cinsel
"Sağlık kontrollerimi aksattı ve ilgisiz kaldı.",normal
"Beni sık sık tokatladı ve sözlü olarak aşağıladı.",normal
"Okula gitmemi engelliyor ve yalnız bırakıyor.",ihmal
"Korkutucu sözler söyledi ve beni tehdit etti.",duygusal
"Bana istemediğim şekilde dokundu.",cinsel
"Yemek vermeyi ihmal ediyor ve ilgisiz davranıyor.",ihmal
"Sürekli psikolojik baskı yapıyor ve manipüle ediyor.",normal
"Fiziksel şiddet uyguladı, yüzüme yumruk attı.",ihmal
"Cinsel taciz uyguladı ve rahatsız etti.",normal
"Beni aşağılayarak kendimi değersiz hissettirdi.",normal
"Sağlık kontrollerimi aksattı ve ilgisiz kaldı.",duygusal
"Beni sürekli aşağılıyor ve küçük düşürüyor.",cinsel
"Evde yalnız bırakılıyorum ve ihtiyaçlarım karşılanmıyor.",normal
"İstemediğim halde bana dokunuyor ve rahatsız ediyor.",duygusal
"Fiziksel olarak zarar veriyor, beni itiyor.",normal
"Okulda zorbalığa uğruyorum ve destek almıyorum.",ihmal
"Yeterince sevgi ve ilgi görmüyorum.",duygusal
"Para vermiyor ve temel ihtiyaçlarımı karşılamıyor.",ihmal
"Sürekli tehdit ediliyor ve korkutuluyorum.",cinsel
"Sağlık kontrollerim aksıyor, hastalıklarım göz ardı ediliyor.",normal
"Her gün bağırıyor ve bana zarar veriyor.",duygusal
"Beni dışlıyor ve yalnız bırakıyor.",ihmal
"Kendimi güvende hissetmiyorum.",cinsel
"Zorla bir şeyler yaptırıyor ve rızamı almıyor.",duygusal
"Temel ihtiyaçlarımı karşılamıyor ve ilgilenmiyor.",normal
"Sürekli azar işitiyorum ve küçümseniyorum.",ihmal
"Fiziksel şiddete maruz kalıyorum.",cinsel
"Beni aşağılıyor ve sözlü olarak zarar veriyor.",normal
"Yeterince beslenmiyorum ve hasta oluyorum.",duygusal
"Evde yalnız ve korunmasız bırakılıyorum.",ihmal
"İstemediğim cinsel davranışlara maruz kalıyorum.",normal
"Zorla okuldan alınıyorum ve eğitime devam etmeme izin verilmiyor.",duygusal
"Yemek vermiyor ve ilgilenmiyor.",ihmal
"Tehdit ediliyor ve korkutuluyorum.",cinsel
"Beni dövüyor ve yaralıyor.",duygusal
"Temel ihtiyaçlarım karşılanmıyor.",normal
"Sürekli yalnız bırakılıyorum.",ihmal
"Fiziksel olarak zarar veriliyor.",cinsel
"Sağlık sorunlarım görmezden geliniyor.",duygusal
"Beni tehdit ediyor ve korkutuyor.",normal
"Evde ilgisiz bırakılıyorum.",ihmal
"Bana istemediğim şekilde dokunuluyor.",cinsel
"Okula gitmeme izin verilmiyor.",duygusal
"Yeterince beslenmiyorum ve hasta oluyorum.",normal
"Evde yalnız bırakılıyorum ve korunmasızım.",ihmal
"Beni zorla cinsel ilişkiye zorluyor.",cinsel
"Sağlık kontrollerim yapılmıyor.",duygusal
"Korkutucu sözler sarf ediyor.",normal
"Beni ilgisiz bırakıyor.",ihmal
"Bana fiziksel zarar veriyor.",cinsel
"Okula gitmeme engel oluyor.",duygusal
"Yemek vermiyor ve ilgilenmiyor.",normal
"Beni sürekli yalnız bırakıyor.",ihmal
"Beni dövüyor.",cinsel
"Sağlık sorunlarımı görmezden geliyor.",duygusal
"Tehdit ediyor ve korkutuyor.",normal
"Evde yalnız bırakıyor.",ihmal
"Bana istemediğim şekilde dokunuyor.",cinsel
"Okula gitmeme izin vermiyor.",duygusal
"Yeterince beslenmiyorum.",normal
"Evde ilgisiz bırakılıyorum.",ihmal
"Beni zorla cinsel ilişkiye zorluyor.",cinsel
"Sağlık kontrollerimi yapmıyor.",duygusal
"Korkutucu sözler söylüyor.",normal
"Beni ilgisiz bırakıyor.",ihmal
"Bana fiziksel zarar veriyor.",cinsel
"Okula gitmeme izin vermiyor.",duygusal
